Nome,Seeders,Leechers,Tipo
 Shooter S02E05 HDTV x264-SVA,652,62,1
 Shooter S02E05 HDTV x264-SVA,637,59,1
 Shooter S02E05 HDTV x264-SVA,726,61,1
 Shooter S02E05 HDTV x264-SVA,626,51,1
 Shooter S02E05 HDTV x264-SVA,594,48,1
 Shooter S02E05 HDTV x264-SVA,654,53,1
 Shooter S02E05 HDTV x264-SVA,547,38,1
 Shooter S02E05 HDTV x264-SVA,610,40,1
 Shooter S02E05 HDTV x264-SVA,459,39,1
 Shooter S02E05 HDTV x264-SVA,546,20,1
 Shooter S02E05 HDTV x264-SVA,540,43,1
 Shooter S02E05 HDTV x264-SVA,498,35,1
 Shooter S02E05 HDTV x264-SVA,460,32,1
 The.Dark.Tower.2017.720p.BRRip.900MB.MkvCage,3577,1841,1
 The.Dark.Tower.2017.720p.BRRip.900MB.MkvCage,3656,1752,1
 The.Dark.Tower.2017.720p.BRRip.900MB.MkvCage,2437,478,1
 The.Dark.Tower.2017.720p.BRRip.900MB.MkvCage,2072,358,1
 The.Dark.Tower.2017.720p.BRRip.900MB.MkvCage,1996,277,1
 The.Dark.Tower.2017.720p.BRRip.900MB.MkvCage,1887,279,1
 The.Dark.Tower.2017.720p.BRRip.900MB.MkvCage,278,27,1
 The.Dark.Tower.2017.720p.BRRip.900MB.MkvCage,235,17,1
 The.Flash.2014.S04E01.720p.HDTV.​X264-DIMENSION,2172,568,1
 The.Flash.2014.S04E01.720p.HDTV.​X264-DIMENSION,1974,470,1
 The.Flash.2014.S04E01.720p.HDTV.​X264-DIMENSION,1679,392,1
 The.Flash.2014.S04E01.720p.HDTV.​X264-DIMENSION,1334,244,1
 The.Meyerowitz.Stories.New.and.Selected.2017.720p.NF.WEB-DL.900,378,206,1
 The.Meyerowitz.Stories.New.and.Selected.2017.720p.NF.WEB-DL.900,365,82,1
 The.Meyerowitz.Stories.New.and.Selected.2017.720p.NF.WEB-DL.900,289,73,1
 Transformers The Last Knight 2017 720p HC H264 Webrip,659,453,1
 Transformers The Last Knight 2017 720p HC H264 Webrip,491,194,1
 War.for.the.Planet.of.the.Apes.2017.1080p.HC.HDRip.MkvCage,2439,1456,1
 War.for.the.Planet.of.the.Apes.2017.1080p.HC.HDRip.MkvCage,1940,477,1
 War.for.the.Planet.of.the.Apes.2017.1080p.HC.HDRip.MkvCage,1143,131,1
 War.for.the.Planet.of.the.Apes.2017.1080p.HC.HDRip.MkvCage,1040,93,1
 War.for.the.Planet.of.the.Apes.2017.1080p.HC.HDRip.MkvCage,982,109,1
 War.for.the.Planet.of.the.Apes.2017.1080p.HC.HDRip.MkvCage,996,144,1
 War.for.the.Planet.of.the.Apes.2017.1080p.HC.HDRip.MkvCage,983,120,1
 War.for.the.Planet.of.the.Apes.2017.1080p.HC.HDRip.MkvCage,836,107,1
 War.For.The.Planet.Of.The.Apes.2017.720p.HC.HDRip.MkvCage,1072,1400,1
 War.For.The.Planet.Of.The.Apes.2017.720p.HC.HDRip.MkvCage,5477,2537,1
 War.For.The.Planet.Of.The.Apes.2017.720p.HC.HDRip.MkvCage,6381,2971,1
 War.For.The.Planet.Of.The.Apes.2017.720p.HC.HDRip.MkvCage,6019,1521,1
 War.For.The.Planet.Of.The.Apes.2017.720p.HC.HDRip.MkvCage,5356,1235,1
 War.For.The.Planet.Of.The.Apes.2017.720p.HC.HDRip.MkvCage,3754,501,1
 War.For.The.Planet.Of.The.Apes.2017.720p.HC.HDRip.MkvCage,3834,516,1
 War.For.The.Planet.Of.The.Apes.2017.720p.HC.HDRip.MkvCage,3678,460,1
 War.For.The.Planet.Of.The.Apes.2017.720p.HC.HDRip.MkvCage,669,123,1
 War.For.The.Planet.Of.The.Apes.2017.720p.HDRip.KORSUB,1315,1151,1
 Wind River 2017.HC.1080p.HDRip.MkvCage,550,250,1
 Wind River 2017.HC.1080p.HDRip.MkvCage,537,138,1
 Wind River 2017.HC.1080p.HDRip.MkvCage,453,247,1
 Wind River 2017.HC.1080p.HDRip.MkvCage,367,59,1
 Wind River 2017.HC.1080p.HDRip.MkvCage,408,101,1
 Wind River 2017.HC.1080p.HDRip.MkvCage,453,247,1
 Wind River 2017.HC.1080p.HDRip.MkvCage,321,40,1
-= Les Profs 2 French DVDRip 2015 - DeGun TPB =-,514,8,1
-= Les Profs 2 French DVDRip 2015 - DeGun TPB =-,533,4,1
-= Les Profs 2 French DVDRip 2015 - DeGun TPB =-,521,8,1
-= Les Profs 2 French DVDRip 2015 - DeGun TPB =-,502,10,1
-= Les Profs 2 French DVDRip 2015 - DeGun TPB =-,534,3,1
-= Les Profs 2 French DVDRip 2015 - DeGun TPB =-,456,8,1
-= Les Profs 2 French DVDRip 2015 - DeGun TPB =-,528,4,1
-= Les Profs 2 French DVDRip 2015 - DeGun TPB =-,529,9,1
-= Les Profs 2 French DVDRip 2015 - DeGun TPB =-,481,6,1
-= Les Profs 2 French DVDRip 2015 - DeGun TPB =-,523,10,1
-= Les Profs 2 French DVDRip 2015 - DeGun TPB =-,574,4,1
-= Les Profs 2 French DVDRip 2015 - DeGun TPB =-,567,9,1
-= Les Profs 2 French DVDRip 2015 - DeGun TPB =-,401,3,1
-= Les Profs 2 French DVDRip 2015 - DeGun TPB =-,582,5,1
-= Les Profs 2 French DVDRip 2015 - DeGun TPB =-,534,8,1
